,customer_id,month,mrr
0,CUST-001,2024-03,1117.81
1,CUST-001,2024-04,1972.6
2,CUST-001,2024-05,2038.36
3,CUST-001,2024-06,1972.6
4,CUST-001,2024-07,2038.36
5,CUST-001,2024-08,2038.36
6,CUST-001,2024-09,1972.6
7,CUST-001,2024-10,2038.36
8,CUST-001,2024-11,1972.6
9,CUST-001,2024-12,2038.36
10,CUST-001,2025-01,2038.36
11,CUST-001,2025-02,2991.78
12,CUST-001,2025-03,3534.25
13,CUST-001,2025-04,2465.75
14,CUST-001,2025-05,2547.95
15,CUST-001,2025-06,2465.75
16,CUST-001,2025-07,2547.95
17,CUST-002,2024-02,14051.56
18,CUST-002,2024-03,21547.34
19,CUST-002,2024-04,21851.5
20,CUST-002,2024-05,22579.89
21,CUST-002,2024-06,21851.5
22,CUST-002,2024-07,22579.89
23,CUST-002,2024-08,22579.89
24,CUST-002,2024-09,21851.5
25,CUST-002,2024-10,22579.89
26,CUST-002,2024-11,21851.5
27,CUST-002,2024-12,22579.89
28,CUST-002,2025-01,22579.89
29,CUST-002,2025-02,7652.44
30,CUST-002,2025-03,1106.3
31,CUST-003,2024-06,1052.05
32,CUST-003,2024-07,2038.36
33,CUST-003,2024-08,2038.36
34,CUST-003,2024-09,1972.6
35,CUST-003,2024-10,2038.36
36,CUST-003,2024-11,1972.6
37,CUST-003,2024-12,2038.36
38,CUST-003,2025-01,2038.36
39,CUST-003,2025-02,1841.1
40,CUST-003,2025-03,2038.36
41,CUST-003,2025-04,1972.6
42,CUST-003,2025-05,2038.36
43,CUST-003,2025-06,1972.6
44,CUST-003,2025-07,2038.36
45,CUST-004,2024-01,1295.12
46,CUST-004,2024-02,1976.77
47,CUST-004,2024-03,2113.1
48,CUST-004,2024-04,2044.93
49,CUST-004,2024-05,2113.1
50,CUST-004,2024-06,2044.93
51,CUST-004,2024-07,2113.1
52,CUST-004,2024-08,2113.1
53,CUST-004,2024-09,2044.93
54,CUST-004,2024-10,2113.1
55,CUST-004,2024-11,2044.93
56,CUST-004,2024-12,2113.1
57,CUST-004,2025-01,2113.1
58,CUST-004,2025-02,1908.6
59,CUST-004,2025-03,2113.1
60,CUST-004,2025-04,2044.93
61,CUST-004,2025-05,2113.1
62,CUST-004,2025-06,2044.93
63,CUST-004,2025-07,2113.1
64,CUST-005,2024-10,1325.07
65,CUST-005,2024-11,2338.36
66,CUST-005,2024-12,2416.3
67,CUST-005,2025-01,2416.3
68,CUST-005,2025-02,2182.47
69,CUST-005,2025-03,2416.3
70,CUST-005,2025-04,2338.36
71,CUST-005,2025-05,2416.3
72,CUST-005,2025-06,2338.36
73,CUST-005,2025-07,2416.3
74,CUST-006,2024-01,2021.37
75,CUST-006,2024-02,8612.19
76,CUST-006,2024-03,10311.54
77,CUST-006,2024-04,9978.9
78,CUST-006,2024-05,10311.54
79,CUST-006,2024-06,9978.9
80,CUST-006,2024-07,10311.54
81,CUST-006,2024-08,10311.54
82,CUST-006,2024-09,9978.9
83,CUST-006,2024-10,10311.54
84,CUST-006,2024-11,9978.9
85,CUST-006,2024-12,10311.54
86,CUST-006,2025-01,10311.54
87,CUST-006,2025-02,9313.64
88,CUST-006,2025-03,10311.54
89,CUST-006,2025-04,9978.9
90,CUST-006,2025-05,10311.54
91,CUST-006,2025-06,9978.9
92,CUST-006,2025-07,10311.54
93,CUST-007,2024-05,1117.81
94,CUST-007,2024-06,1972.6
95,CUST-007,2024-07,3156.17
96,CUST-007,2024-08,4076.72
97,CUST-007,2024-09,3945.2
